PIVA_DISTRIBUTORE,COD_PDR,CAUSALE,NOME_FILE_INCOERENTE_EXC,NOME_FILE_LETTURA_CORRISPONDENTE,NOME_FILE_LETTURA_PRECEDENTE,STATO
03479071205,03081000952015,,,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,03479071205_02221101203_202305_TAL_20230524100029_1_M.xml,ONLY_REPORT_1
03479071205,03081000952487,,,03479071205_01178580997_202303_TML_20230405081347_1_M.xml,03479071205_01178580997_202301_TAL_20230130191751_1_M.xml,ONLY_REPORT_1
03479071205,07710000013615,,,03479071205_01178580997_202005_TAL.0150_20200507100008_0001.xml,03479071205_01178580997_202001_TML.0050_20200129083405_001.xml,ONLY_REPORT_1
03479071205,07710000014511,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202004_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427577,,,03479071205_02221101203_202305_TAL_20230529100022_1_M.xml,03479071205_02221101203_202304_TML_20230505122148_1_M.xml,ONLY_REPORT_1
03479071205,03081000427719,,,03479071205_02221101203_202304_TML_20230505122148_1_M.xml,03479071205_02221101203_202304_TAL_20230405113517_1_M.xml,ONLY_REPORT_1
03479071205,03081000428284,T1,03479071205_CHE116343713IVA_AGG_INCOERENTI_EXC_202012_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427685,,,03479071205_02221101203_202311_TML_20231204160940_1_M.xml,03479071205_02221101203_202311_TAL_20231129100036_1_M.xml,ONLY_REPORT_1
03479071205,07710000014410,,,03479071205_01178580997_202301_TML_20230116080621_1_M.xml,03479071205_02221101203_202012_TAL.0150_20201210100006_0001.xml,ONLY_REPORT_1
03479071205,07710000014386,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202002_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427654,,,03479071205_02221101203_202302_TAL_20230228180018_1_M.xml,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,ONLY_REPORT_1
03479071205,03081000953797,,,03479071205_02221101203_202309_TML_20231006171325_1_M.xml,03479071205_02221101203_202309_TAL_20230925100021_1_M.xml,ONLY_REPORT_1
03479071205,03081000952237,,,03479071205_02221101203_202309_TML_20231003103234_1_M.xml,03479071205_02221101203_202309_TAL_20230914180022_1_M.xml,ONLY_REPORT_1
03479071205,07710000013862,,,03479071205_01178580997_202009_TML.0050_20201008124442_001.xml,03479071205_01178580997_202003_TML.0050_20200327081742_001.xml,ONLY_REPORT_1
03479071205,07710000014285,,,03479071205_02221101203_202311_TAL_20231111100028_1_M.xml,03479071205_02221101203_202310_TML_20231103141802_1_M.xml,ONLY_REPORT_1
03479071205,07710000013852,,,03479071205_02221101203_202303_TAL_20230305100020_1_M.xml,03479071205_02221101203_202301_TML_20230208120142_1_M.xml,ONLY_REPORT_1
03479071205,07710000014448,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000429367,,,03479071205_02221101203_202310_TML_20231103152206_1_M.xml,03479071205_02221101203_202308_TML_20230908144823_1_M.xml,ONLY_REPORT_1
03479071205,03081000427852,,,03479071205_02221101203_202304_TAL_20230429180015_1_M.xml,03479071205_02221101203_202303_TML_20230405100914_1_M.xml,ONLY_REPORT_1
03479071205,07710000014386,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202008_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427761,,,03479071205_06655971007_202304_TAL_20230502195608_1_M.xml,03479071205_06655971007_202304_TML_20230505130309_1_M.xml,ONLY_REPORT_1
03479071205,07710000014495,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000952528,,,03479071205_02221101203_202304_TML_20230505093852_1_M.xml,03479071205_02221101203_202304_TAL_20230405113320_1_M.xml,ONLY_REPORT_1
